
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199406  -8.11  -9.84  -7.41  -9.87  -8.66  -7.50  -6.56  -4.95  -9.00  -2.93
199407   8.13   5.20   6.02   8.67   7.74   8.86   7.63   4.21  10.18   4.37
199408   5.51   1.77   5.33   3.10   1.93   4.39   6.04   0.76   3.80   5.48
199409  -3.19   1.49  -3.25  -2.20  -3.08  -3.76  -4.90  -1.40  -3.76   2.27
199410   0.49  -1.78   2.64  -1.83  -0.33  -3.09   1.48   2.35  -1.40  -1.05
199411 -12.56 -17.63 -10.46 -14.54 -13.98 -12.24 -11.83 -14.43 -13.30  -6.05
199412  -3.10  -4.81  -2.58  -4.62  -3.85  -1.11  -1.35  -5.65  -2.34  -3.82
199501 -10.23 -10.27 -10.23  -9.06 -11.45  -7.57  -7.94  -9.09 -14.84  -9.15
199502  14.25  11.97  12.90  14.92  12.64  15.35   8.87   8.09  16.19  12.06
199503   2.69   2.19   4.96   0.99   4.43   1.54   2.77   0.02   3.23  12.34
199504  -3.19  -5.91  -2.79  -3.73  -1.84  -2.83  -0.90  -2.46  -2.38  -0.54
199505  12.57  10.90  12.43  14.82  12.35  14.29   9.64  10.90  13.74   1.27
199506  -1.91  -0.18  -3.93   1.49  -3.36   0.04  -4.38   0.61  -2.43   0.92
199507   2.69   3.43   2.07   5.03   1.74   1.73  -1.83   5.16   5.20   2.27
199508  -3.21  -5.44  -2.47  -1.78  -2.93  -0.62  -2.62  -7.03  -3.04   0.05
199509   5.58   6.74   4.61   8.40   4.80   8.67   3.31   2.97   5.36   7.99
199510   0.66   4.10   0.59   1.01   0.65   2.23   0.92  -0.71   0.91  -2.49
199511   0.19   1.01   0.07   2.01  -0.53   0.71  -3.56  -1.89   1.43   1.17
199512   2.94   1.94   2.13   3.87   3.65   5.75   3.08   0.55   4.44   0.10
199601  13.87  24.67  10.09  22.69   9.24   6.78   8.38  20.16  13.87  11.46
199602  -1.19  -3.12   0.11  -2.09   0.40   3.93   0.82  -0.89  -1.64   0.38
199603  -0.37   1.53   0.45  -1.83   0.84  -2.42   0.20  -1.15  -0.11  -7.87
199604   0.02   0.92  -0.90   1.25  -1.27   1.41  -1.32   0.21  -1.11  -1.23
199605   2.90  -0.31   1.71   1.79   2.07   1.97   1.33   2.94   3.10  -2.11
199606  -1.90  -1.07  -1.70  -2.17  -2.16  -0.26  -1.75  -1.94  -1.46  -2.51
199607  -3.93  -4.06  -4.39  -3.45  -3.60   1.97  -4.28  -2.65  -2.81  12.43
199608   4.04   8.02   2.58   3.91   3.46   1.10   2.70   3.95   3.81   2.47
199609   6.52   6.03   7.00   7.32   7.05   1.63   7.97   3.27   6.37 -11.50
199610   4.03   2.17   3.66   4.46   4.99   3.30   2.63   3.03   3.16   2.47
199611   8.67  19.98   4.74  10.89   6.86  10.72   6.55  12.51   9.91   9.45
199612   0.14  -1.64   0.11  -1.14   0.87  -0.11   0.56  -2.80   1.82  18.69
199701  -2.46  -5.13  -0.90  -1.04  -4.87  -0.73  -3.89   4.55  -3.34   4.34
199702   0.08  -2.08   0.78   1.47  -0.08   1.56  -0.28   0.12   0.66   1.49
199703  -6.39  -8.18  -4.38  -5.22  -9.65  -2.53  -8.31  -2.25  -6.96  -1.21
199704   1.44  -2.89   2.02  -0.13   2.96   1.74   0.74   0.73   0.76   0.42
199705  12.27  11.04  12.87   4.40  12.23   0.03  13.58  16.60  12.19  11.69
199706   4.46  -1.25   6.61   4.44   4.19  27.28   4.03   9.17   2.77  -6.24
199707   5.97   1.89   6.79   5.93   3.84  -4.25  -0.09   5.57   8.85  13.52
199708 -13.24  -3.46 -14.18  -4.25 -12.17  -8.72 -11.95 -15.77 -13.19 -11.18
199709   5.62   0.67   9.13  -1.11   2.40  -7.94   4.24   8.82   7.28  -1.12
199710 -28.60 -36.11 -24.71 -31.00 -33.64 -26.93 -25.95 -14.25 -33.05 -17.34
199711  -2.33  -3.99  -3.04   0.19   0.13 -11.38  -3.44  -0.82  -3.17  -7.37
199712   1.55   0.07   2.34  -5.39   2.10  -7.23   5.68   7.17  -2.56  11.83
199801 -15.50 -28.24  -6.80 -25.52  -9.01 -17.36  -7.03 -22.00 -13.12 -15.30
199802  21.69  32.72  10.03  42.64  11.98  29.33  10.84  32.32  19.62  35.92
199803  -2.48  -5.05  -0.59  -0.34  -1.63   3.50  -2.25  -2.33  -2.83  -7.33
199804 -10.56 -12.36 -10.33  -8.19 -10.45  -7.66 -10.04 -11.78  -9.09 -10.70
199805 -14.25 -19.36  -9.18 -19.96 -10.10 -18.82 -10.17 -19.77 -14.95 -18.04
199806  -6.88 -13.65  -2.81 -10.39  -4.74  -5.95  -1.12  -8.80  -4.07 -34.30
199807  -7.72 -12.94  -4.79 -10.28  -5.40  -7.56  -4.52  -8.22  -8.45 -20.62
199808  -7.41  -1.50  -5.17 -10.28  -5.18 -11.93  -6.40  -3.84  -8.45 -37.43
199809  17.11  10.20  16.57  15.63  17.70  19.87  17.22  17.58  19.14  78.15
